1,Ativo Total,18.394.514,15.289.994,14.239.874
01.01,Caixa e Equivalentes de Caixa,7.294.348,4.769.733,4.815.748
01.01.01,Caixa e Equivalentes de Caixa,253.849,168.570,1.119.132
01.01.02,Reservas no Banco Central,667.201,799.548,1.151.929
01.01.03,Créditos a Instituições Financeiras,6.373.298,3.801.615,2.544.687
01.02,Aplicações Financeiras,6.262.955,5.468.651,4.603.086
01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,1.562.188,1.577.210,1.068.540
1.02.01.01,Títulos para Negociação,382.751,295.912,354.301
1.02.01.02,Títulos Disponíveis para Venda,1.179.437,1.281.298,714.239
01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,4.700.767,3.891.441,3.534.546
1.02.02.01,Títulos Mantidos até o Vencimento,4.700.767,3.891.441,3.534.546
01.03,Empréstimos e Recebíveis,3.635.166,4.082.996,3.952.059
01.04,Tributos Diferidos,241.813,175.452,143.942
01.04.01,Imposto de Renda e Contribuição Social Diferidos,241.813,175.452,143.942
01.05,Outros Ativos,801.514,685.650,613.424
01.05.01,Ativos Não Correntes a Venda,50.751,14.720,13.928
01.05.02,Ativos de Operações Descontinuadas,,,
01.05.03,Outros,750.763,670.930,599.496
1.05.03.01,Propriedades para Investimento,956,1.162,1.236
1.05.03.02,Operações de Seguros,16.093,17.525,17.301
1.05.03.03,Outros Ativos,733.714,652.243,580.959
01.06,Investimentos,,,
01.06.01,Participações em Coligadas,,,
01.06.02,Outros,,,
01.07,Imobilizado,133.694,89.290,94.403
01.07.01,Imobilizado de Uso,133.694,89.290,94.403
01.07.02,Imobilizado de Arrendamento,,,
01.08,Intangível,25.024,18.222,17.212
01.08.01,Intangíveis,25.024,18.222,17.212
01.08.02,Goodwill,,,
2,Passivo Total,18.394.514,15.289.994,14.239.874
02.01,Passivos Financeiros para Negociação,,,
02.02,Outros Passivos Financeiros ao Valor Justo no Resultado,,,
02.03,Passivos Financeiros ao Custo Amortizado,16.108.126,13.237.515,12.385.893
02.03.01,Depósitos de Clientes,8.702.777,8.227.102,7.667.146
02.03.02,Recursos de Instituições Financeiras,6.762.331,4.569.190,4.483.297
02.03.03,Títulos de Dívida Emitidos,643.018,441.223,235.450
02.04,Provisões,206.901,156.572,116.345
02.05,Passivos Fiscais,3.317,1.005,423
02.05.01,Passivos de Impostos Correntes,3.317,1.005,423
02.06,Outros Passivos,897.564,819.717,765.222
02.06.01,Passivos de Operações de Seguros,3.101,3.116,2.979
02.06.02,Provisões Técnicas de Seguros e Previdência,149.095,128.762,109.833
